topic_id	tweet_id	tweet_url	tweet_text	claim	claim_worthiness
CT20-AR-01	1221949644554588160	https://twitter.com/user/status/1221949644554588160	وأي خيانة أكبر من خيانة الدين ،، الوطن ،، الهوية ،، العقيدة ،، التاريخ .. عليسة المرأة والتي لا تمتلك مما فات شيئا قالت النار ولا العار يا أمة المليار .. #صفقة_القرن #القدس_عاصمة_فلسطين_الأبدية	0	0
CT20-AR-01	1222030473385345028	https://twitter.com/user/status/1222030473385345028	صباح الخير على فلسطين وقدسها وشعبها ومهجرينها في المخيمات وأسراها ومبعديها ، صباح الخير لكل من يحمل في قلبه حبها وانتمائها 💛🌼 #القدس_عاصمة_فلسطين_الأبديه #تسقط_صفقة_الوهم https://t.co/jGjx9Rq28c	0	0
CT20-AR-01	1222035929105338368	https://twitter.com/user/status/1222035929105338368	ذنبگ أنگ جميله گ يوسف وخانگ العالم گ أاخواته 💔 صباحكم فلسطيني صباح الوطن الجميل #صفقة_القرن_لن_تمر https://t.co/FEHdfHaupP	0	0
CT20-AR-01	1222048121145962496	https://twitter.com/user/status/1222048121145962496	لا يلزمك ان تكون فلسطينياً لتحب فلسطين، حُبها لا يعرف جنسية أو هوية.. حُبها يكون بالفطرة.. شيء يشبه حُبنا لأمهاتنا بلا تفكير! ❤ #صباح_الخير 💛🇵🇸💛 #القدس_عاصمة_فلسطين_الأبدية ⁦✌️⁩ https://t.co/gUPpBAGGPy	0	0
CT20-AR-01	1222053294266372096	https://twitter.com/user/status/1222053294266372096	#مناصرون رحل البروفسور زيك فريد فوغل . رئيس قسم جراحة الأعصاب في مستشفى مايو كلينك - برلين. من أفضل ٥ جراحين الأعصاب على مستوى العالم . عمل ٤٥٠ عمليه سرطان دماغ في فلسطين ، والاف عمليات العمود الفقري وهو يلفظ انفاسه قال قولوا للفلسطينيين سوف تنتصرون." #صفقة_القرن_لن_تمر https://t.co/EtK2eJ4K1T	0	0
CT20-AR-01	1222060764216938496	https://twitter.com/user/status/1222060764216938496	#صفقة_القرن يستخدمها ترمب لحماية نفسه من العزل والبقاء في الحكم، ويستغلها #نتنياهو للهروب من شبح السجن رغم علمه بصعوبة تنفيذها.. والعرب كالعادة في سبات عميق #صفقة_القرن_لن_تمر	0	0
CT20-AR-01	1222084357244014593	https://twitter.com/user/status/1222084357244014593	لن نتخلى عن فلسطين✌️ ولا عن شعب فلسطين ولا عن مقدسات الأمة في فلسطين✌️ #صفقة_القرن_لن_تمر #فلسطين_عربية #حزب_الله https://t.co/fDS8C8JNjU	0	0
CT20-AR-01	1222099768735870976	https://twitter.com/user/status/1222099768735870976	يعملوا صفقات قرن ولا مايعملوا القدس لنا وحسبي الله ونعم الوكيل فيهم حكام العرب #القدس_عاصمة_فلسطين_الأبدية ✌🇵🇸	0	0
CT20-AR-01	1222102265101799425	https://twitter.com/user/status/1222102265101799425	يـا قدسُ وردُ الشـوقِ بـاح وشدّنـي • • • وطـمعْتُ فـي نـيل الغرام فصدّنـي ..⁦❤️⁩ #القدس_عاصمة_فلسطين_الأبدية #القدس #المسجد_الأقصى https://t.co/ZE4ulCBzSu	0	0
CT20-AR-01	1222103938033487878	https://twitter.com/user/status/1222103938033487878	خطة #ترمب للتسوية، المعروفة بـ #صفقة_القرن، ليست سوى نتيجة لسلسلة من التنازلات عن حقوق الفلسطينيين والأمة قدّمتها القيادات الفلسطينية والأنظمة العربية. الشعوب ما زالت مغيّبة، ولن يطول الزمن حتى تقول كلمتها، فترمي كل الصفقات و "المبادرات" في سلّة مهملات التاريخ. #صفقة_القرن_لن_تمر https://t.co/yZnAEnUXZW	0	0
CT20-AR-01	1222107505121275907	https://twitter.com/user/status/1222107505121275907	معيب ان تتنصل الانطمة العربية من مسؤولية الدفاع عن فلسطين امام سمسار يرى فلسطين كعقار يمكن تسليعه! صمت الأنظمة العربية هو نتيجة طليعية لبؤسها وانفصالها عن الواقع #صفقة_القرن #صفقة_القرن_لن_تمر	0	0
CT20-AR-01	1222113832644022273	https://twitter.com/user/status/1222113832644022273	الغضبُ الساطعُ آتٍ وأنا كلّي إيمانْ! #صفقة_القرن_لن_تمر https://t.co/UNCpxSQKat	0	0
CT20-AR-01	1222114234621943814	https://twitter.com/user/status/1222114234621943814	هذه الأرض لا تتسع لهويّتين، إما نحن أو نحن! #صفقة_القرن #صفقة_القرن_لن_تمر https://t.co/7JXR2YmG7S	0	0
CT20-AR-01	1222114809891696641	https://twitter.com/user/status/1222114809891696641	📽 شاهد صفقة القرن.... لن تمر #صفقة_القرن_لن_تمر https://t.co/8YUbAOjwjM	1	0
CT20-AR-01	1222140851696082945	https://twitter.com/user/status/1222140851696082945	كيف ل #صفقة_القرن أن تمر ونحن نصرخ مع أسلافنا من كل ساحات الأمّة بملء حناجرنا أنّ فلسطين الحرّة عربية والتحرير آت والخيار دوماً مقاومة! #صفقة_القرن_لن_تمر #صفقة_الذل #صفعة_القرن	0	0
CT20-AR-01	1222145798579924992	https://twitter.com/user/status/1222145798579924992	سيأتي ومعه جيش من الشهداء #القدس_عاصمة_فلسطين_الأبدية https://t.co/3lAl2aq23i	0	0
CT20-AR-01	1222148977421844481	https://twitter.com/user/status/1222148977421844481	اللهم وحد شعب فلسطين في مواجهة صفقة القرن، واجعل صموده وثباته وتضحياته صخرة تتحطم عليها كل المؤامرات! #صفقة_القرن_لن_تمر	0	0
CT20-AR-01	1222160439850733569	https://twitter.com/user/status/1222160439850733569	أمام صفقة ترامب لا قيمة للخطب والبيانات إذا لم تترجم إلى مواقف عملية ويتم تفعيل العمل العسكري والانتفاضة داخل فلسطين بالدرجة الأولى مسنودة بوحدة وطنية فلسطينية ساعتها سنقول: #صفقة_القرن_لن_تمر	0	0
CT20-AR-01	1222165954739589120	https://twitter.com/user/status/1222165954739589120	يا قدسنا إسمعيني حبّك جاري في شراييني❤️ #القدس_عاصمة_فلسطين_الأبدية https://t.co/GddtYkSWsz	0	0
CT20-AR-01	1222175315935612929	https://twitter.com/user/status/1222175315935612929	كان اسمها فلسطين اليوم اسمها فلسطين سيبقى اسمها فلسطين #صفقة_القرن_لن_تمر #صفقة_العار #فلسطين❤️ 🇵🇸	1	0
